field,pi_record_no,place,same as,part of
seller_loc_1,K-148,"London, England, UK",tgn/7011781,
seller_loc_1,K-149,"London, England, UK",tgn/7011781,
seller_loc_1,K-150,"London, England, UK",tgn/7011781,
seller_loc_1,K-151,"Paris, France",tgn/7008038,
seller_loc_1,K-152,"London, England, UK",tgn/7011781,
seller_loc_1,K-155,"Paris, France",tgn/7008038,
seller_loc_1,K-156,"Berlin, Deutschland",tgn/7003712,
seller_loc_1,K-157,"Berlin, Deutschland",tgn/7003712,
seller_loc_1,K-158,"Paris, France",tgn/7008038,
seller_loc_1,K-159,"Dusseldorf, Deutschland",tgn/7004443,
seller_loc_1,K-160,"Dusseldorf, Deutschland",tgn/7004443,
seller_loc_1,K-161,"München, Deutschland",tgn/7004333,
seller_loc_1,K-162,"München, Deutschland",tgn/7004333,
seller_loc_1,K-163,"München, Deutschland",tgn/7004333,
seller_loc_1,K-165,"Berlin, Deutschland",tgn/7003712,
seller_loc_1,K-166,"Berlin, Deutschland",tgn/7003712,
seller_loc_1,K-167,"Brussel, Belgique",tgn/7007868,
seller_loc_1,K-168,"Brussel, Belgique",tgn/7007868,
seller_loc_1,K-169,"Brussel, Belgique",tgn/7007868,
seller_loc_1,K-170,"Brussel, Belgique",tgn/7007868,
seller_loc_1,K-171,"Brussel, Belgique",tgn/7007868,
seller_loc_1,K-172,"Brussel, Belgique",tgn/7007868,
seller_loc_1,K-173,"Brussel, Belgique",tgn/7007868,
seller_loc_1,K-174,"Brussel, Belgique",tgn/7007868,
seller_loc_1,K-175,"Brussel, Belgique",tgn/7007868,
seller_loc_1,K-176,"Brussel, Belgique",tgn/7007868,
seller_loc_1,K-177,"Brussel, Belgique",tgn/7007868,
seller_loc_1,K-178,"Brussel, Belgique",tgn/7007868,
seller_loc_1,K-179,"Brussel, Belgique",tgn/7007868,
seller_loc_1,K-180,"Brussel, Belgique",tgn/7007868,
seller_loc_1,K-181,"Brussel, Belgique",tgn/7007868,
seller_loc_1,K-182,"Brussel, Belgique",tgn/7007868,
seller_loc_1,K-183,"Brussel, Belgique",tgn/7007868,
seller_loc_1,K-184,"Brussel, Belgique",tgn/7007868,
seller_loc_1,K-185,"Brussel, Belgique",tgn/7007868,
seller_loc_1,K-186,"Brussel, Belgique",tgn/7007868,
seller_loc_1,K-187,"Brussel, Belgique",tgn/7007868,
seller_loc_1,K-188,"Brussel, Belgique",tgn/7007868,
seller_loc_1,K-189,"Brussel, Belgique",tgn/7007868,
seller_loc_1,K-190,"Brussel, Belgique",tgn/7007868,
seller_loc_1,K-191,"Brussel, Belgique",tgn/7007868,
seller_loc_1,K-192,"Brussel, Belgique",tgn/7007868,
seller_loc_1,K-193,"Brussel, Belgique",tgn/7007868,
seller_loc_1,K-194,"Brussel, Belgique",tgn/7007868,
seller_loc_1,K-195,"Brussel, Belgique",tgn/7007868,
seller_loc_1,K-196,"London, England, UK",tgn/7011781,
seller_loc_1,K-197,"München, Deutschland",tgn/7004333,
seller_loc_1,K-198,"München, Deutschland",tgn/7004333,
seller_loc_1,K-200,"Paris, France",tgn/7008038,
seller_loc_1,K-201,"Paris, France",tgn/7008038,
seller_loc_1,K-202,"Paris, France",tgn/7008038,
seller_loc_1,K-203,"Paris, France",tgn/7008038,
seller_loc_1,K-204,"Paris, France",tgn/7008038,
seller_loc_1,K-205,"Paris, France",tgn/7008038,
seller_loc_1,K-206,"Paris, France",tgn/7008038,
seller_loc_1,K-207,"Paris, France",tgn/7008038,
seller_loc_1,K-208,"Paris, France",tgn/7008038,
seller_loc_1,K-209,"Paris, France",tgn/7008038,
seller_loc_1,K-210,"Paris, France",tgn/7008038,
seller_loc_1,K-211,"Paris, France",tgn/7008038,
seller_loc_1,K-212,"Paris, France",tgn/7008038,
seller_loc_1,K-213,"Paris, France",tgn/7008038,
seller_loc_1,K-214,"Paris, France",tgn/7008038,
seller_loc_1,K-215,"Paris, France",tgn/7008038,
seller_loc_1,K-216,"Paris, France",tgn/7008038,
seller_loc_1,K-217,"Paris, France",tgn/7008038,
