field,pi_record_no,place,same as,part of
present_loc_geog,K-39837,"Boston, MA, USA",tgn/7013445,
present_loc_geog,K-39908,"Washington, DC, USA",tgn/7013962,
present_loc_geog,K-39922,"Denver, CO, USA",tgn/7013545,
present_loc_geog,K-39934,"Omaha, NE, USA",tgn/7014285,
present_loc_geog,K-39979,"Omaha, NE, USA",tgn/7014285,
present_loc_geog,K-39980,"Omaha, NE, USA",tgn/7014285,
present_loc_geog,K-40075,"Detroit, MI, USA",tgn/7013547,
present_loc_geog,K-40104,"New Haven, CT, USA",tgn/7014210,
present_loc_geog,K-40141,"Cambridge, MA, USA",tgn/7013527,
present_loc_geog,K-40146,"Seattle, WA, USA",tgn/7014494,
present_loc_geog,K-40196,"Washington, DC, USA",tgn/7013962,
present_loc_geog,K-40309,"Helsinki, Finland",tgn/7009880,
