loc_verbatim,loc_name,loc_auth,,
125 Avenue Wagram,125 avenue Wagram,"Paris, France",,
126 Boulevard Pereire,126 boulevard Pereire,"Paris, France",,
127 Boulevard Malesherbes,127 boulevard Malesherbes,"Paris, France",,
129 avenue Champs Elysées,129 avenue Champs Elysées,"Paris, France",,
129 Boulevard Malesherbes,129 boulevard Malesherbes,"Paris, France",,
13 Avenue Frochat,13 avenue Frochot,"Paris, France",,
13 avenue Trochet,13 avenue Frochot,"Paris, France",,
13 Avenur Frochat,13 avenue Frochot,"Paris, France",,
13 bis rue des Mathurins,13 bis rue des Mathurins,"Paris, France",,
13 Boulevard des Italiens,13 boulevard des Italiens,"Paris, France",,
"13 Burton street, London",13 Burton street,"London, England, UK",,
"13 Chelsea Embankment, London",13 Chelsea Embankment,"London, England, UK",,
"13 Rue de Coutanges, Auxerre",13 rue de Coutanges,"Auxerre, France",,
13 rue Pavée,13 rue Pavée,"Paris, France",,
13 Rue Vignon,13 rue Vignon,"Paris, France",,
130 Faubourg Saint Honoré,130 Faubourg Saint Honoré,"Paris, France",,
131 avenue Victor Hugo,131 avenue Victor Hugo,"Paris, France",,
131 Boulevard Malesherbes,131 boulevard Malesherbes,"Paris, France",,
132 Boulevard Haussmann,132 boulevard Haussmann,"Paris, France",,
"137 avenue Louise, Brussels",137 avenue Louise,"Brussels, Belgium",,
139 Faubourg Saint Honoré,139 Faubourg Saint Honoré,"Paris, France",,
13bis Boulevard Malherbes,13 bis boulevard Malesherbes,"Paris, France",,
14 avenue Alphand,14 avenue Alphand,"Paris, France",,
14 Avenue d'Antin,14 avenue d'Antin,"Paris, France",,
14 boulevard des Italiens,14 boulevard des Italiens,"Paris, France",,
14 Cité Malesherbes,14 Cité Malesherbes,"Paris, France",,
"14 Esplanade, Hamburg",14 Esplanade,"Hamburg, Germany",,
14 Rond point des Champs Elysées,14 Rond Point des Champs Elysées,"Paris, France",,
14 Rond Point des Champs Elysées,14 Rond Point des Champs Elysées,"Paris, France",,
14 Rue Alph. De Neuville,14 rue Alphonse De Neuville,"Paris, France",,
14 rue Auber,14 rue Auber,"Paris, France",,
14 Rue Beaureplaire,14 rue Beaureplaire,"Paris, France",,
